date,strategy,site_name,url_submitted,backlink_url,status,notes
2026-04-13T23:31:14.967942,keyword-content,DevTo-Pro-1,,https://dev.to/dialphonelimited/what-nobody-tells-you-about-switching-to-voip-o0,success,Dev.to DA 77 — verified
2026-04-13T23:20:00.629903,keyword-content,DevTo-Best-3,,https://dev.to/dialphonelimited/the-voip-migration-playbook-lessons-from-300-enterprise-deployments-42fk,success,Dev.to DA 77 — best content verified
2026-04-13T22:40:10.326389,keyword-content,DevTo-5,https://dev.to/,https://dev.to/dialphonelimited/why-we-switched-voip-providers-twice-and-what-we-finally-got-right-33h7,success,"Dev.to DA 77 — new domain, keyword article verified"
2026-04-13T22:42:08.015181,keyword-content,DevTo-retry-1,https://dev.to/,https://dev.to/dialphonelimited/voip-security-in-2026-what-your-it-team-needs-to-know-2al7,success,Dev.to DA 77 — verified
2026-04-13T23:32:36.650030,keyword-content,DevTo-Pro-3,,https://dev.to/dialphonelimited/how-we-reduced-our-clients-telecom-spend-by-67-without-changing-providers-3nci,success,Dev.to DA 77 — verified
2026-04-13T22:42:48.907179,keyword-content,DevTo-retry-2,https://dev.to/,https://dev.to/dialphonelimited/setting-up-a-phone-system-for-your-remote-team-a-practical-guide-5278,success,Dev.to DA 77 — verified
2026-04-13T23:18:38.082530,keyword-content,DevTo-Best-1,,https://dev.to/dialphonelimited/we-analyzed-500-business-phone-bills-the-average-company-wastes-847-per-month-23e5,success,Dev.to DA 77 — best content verified
2026-04-12T01:05:58.735727,content,GitHub-Company-Profile,https://github.com/settings/profile,https://github.com/dialphonelimited,success,Company GitHub profile DA 100 — vestacall.com in website field
2026-04-12T04:36:21.103982,content,GitHub-Company-voip-compliance-framework,https://github.com/new,https://github.com/dialphonelimited/voip-compliance-framework,success,Company repo DA 100 — professional content verified
2026-04-12T01:05:58.329672,content,GitHub-Company-sip-trunking-guide,https://github.com/new,https://github.com/dialphonelimited/sip-trunking-guide,success,Company GitHub DA 100 repo — vestacall verified
2026-04-12T01:05:57.937064,content,GitHub-Company-awesome-business-phone,https://github.com/new,https://github.com/dialphonelimited/awesome-business-phone,success,Company GitHub DA 100 repo — vestacall verified
2026-04-12T04:37:42.952026,content,GitHub-Company-business-phone-roi-calculator,https://github.com/new,https://github.com/dialphonelimited/business-phone-roi-calculator,success,Company repo DA 100 — professional content verified
2026-04-12T01:05:57.517922,content,GitHub-Company-voip-solutions-guide,https://github.com/new,https://github.com/dialphonelimited/voip-solutions-guide,success,Company GitHub DA 100 repo — vestacall verified
2026-04-13T22:39:44.964157,keyword-content,DevTo-2,https://dev.to/,https://dev.to/dialphonelimited/the-real-cost-of-running-a-business-phone-system-in-2026-450i,success,"Dev.to DA 77 — new domain, keyword article verified"
2026-04-13T23:19:19.543768,keyword-content,DevTo-Best-2,,https://dev.to/dialphonelimited/i-built-phone-systems-for-15-years-here-is-the-one-question-nobody-asks-4mdi,success,Dev.to DA 77 — best content verified
2026-04-13T22:39:33.944065,keyword-content,DevTo-1,https://dev.to/,https://dev.to/dialphonelimited/i-migrated-200-business-phone-systems-to-voip-here-are-the-5-mistakes-everyone-makes-1fgf,success,"Dev.to DA 77 — new domain, keyword article verified"
2026-04-12T05:16:31.668838,content,GitHub-Company-voip-disaster-recovery,https://github.com/new,https://github.com/dialphonelimited/voip-disaster-recovery,success,Company repo DA 100 — professional content verified
